source,target,word_count,sentiment
Mr. Bingley,Mr. Darcy,41,0.9195
Mr. Darcy,Mr. Bingley,53,0.8252
Mrs. Bennet,Mr. Bennet,5,0.4389
Mrs. Bennet,Mr. Bennet,166,0.5524
Mr. Bennet,Mrs. Bennet,36,0.3971
Mrs. Bennet,Mr. Bennet,42,0.9549
Mrs. Bennet,Mr. Bennet,80,0.8453
Jane,Elizabeth,28,0.9272
Elizabeth,Jane,21,0.4939
Jane,Elizabeth,21,0.0835
Elizabeth,Jane,82,0.9891
Jane,Elizabeth,2,0.4389
Elizabeth,Jane,46,0.9011
Jane,Elizabeth,18,0.2144
Elizabeth,Jane,84,0.8934
Jane,Elizabeth,43,-0.4298
Mrs. Bennet,Mary,12,0.2732
Mrs. Bennet,Elizabeth,12,0.2732
Mrs. Bennet,A Young Lucas,12,0.2732
Mrs. Bennet,Lydia,12,0.2732
Mrs. Bennet,Charlotte Lucas,12,0.2732
Mrs. Bennet,Kitty,12,0.2732
Mrs. Bennet,Jane,12,0.2732
Mrs. Bennet,Maria,12,0.2732
Charlotte Lucas,Mary,8,0.6597
Charlotte Lucas,Elizabeth,8,0.6597
Charlotte Lucas,Lydia,8,0.6597
Charlotte Lucas,Mrs. Bennet,8,0.6597
Charlotte Lucas,A Young Lucas,8,0.6597
Charlotte Lucas,Kitty,8,0.6597
Charlotte Lucas,Jane,8,0.6597
Charlotte Lucas,Maria,8,0.6597
Mrs. Bennet,Mary,37,0.7088
Mrs. Bennet,Elizabeth,37,0.7088
Mrs. Bennet,A Young Lucas,37,0.7088
Mrs. Bennet,Lydia,37,0.7088
Mrs. Bennet,Charlotte Lucas,37,0.7088
Mrs. Bennet,Kitty,37,0.7088
Mrs. Bennet,Jane,37,0.7088
Mrs. Bennet,Maria,37,0.7088
Charlotte Lucas,Mary,73,0.9072
Charlotte Lucas,Elizabeth,73,0.9072
Charlotte Lucas,Lydia,73,0.9072
Charlotte Lucas,Mrs. Bennet,73,0.9072
Charlotte Lucas,A Young Lucas,73,0.9072
Charlotte Lucas,Kitty,73,0.9072
Charlotte Lucas,Jane,73,0.9072
Charlotte Lucas,Maria,73,0.9072
Mrs. Bennet,Mary,21,0.0
Mrs. Bennet,Elizabeth,21,0.0
Mrs. Bennet,A Young Lucas,21,0.0
Mrs. Bennet,Lydia,21,0.0
Mrs. Bennet,Charlotte Lucas,21,0.0
Mrs. Bennet,Kitty,21,0.0
Mrs. Bennet,Jane,21,0.0
Mrs. Bennet,Maria,21,0.0
Charlotte Lucas,Mary,29,0.0853
Charlotte Lucas,Elizabeth,29,0.0853
Charlotte Lucas,Lydia,29,0.0853
Charlotte Lucas,Mrs. Bennet,29,0.0853
Charlotte Lucas,A Young Lucas,29,0.0853
Charlotte Lucas,Kitty,29,0.0853
Charlotte Lucas,Jane,29,0.0853
Charlotte Lucas,Maria,29,0.0853
Mrs. Bennet,Mary,56,0.0258
Mrs. Bennet,Elizabeth,56,0.0258
Mrs. Bennet,Lydia,56,0.0258
Mrs. Bennet,Charlotte Lucas,56,0.0258
Mrs. Bennet,Kitty,56,0.0258
Mrs. Bennet,Jane,56,0.0258
Mrs. Bennet,Maria,56,0.0258
Jane,Mary,18,0.709
Jane,Elizabeth,18,0.709
Jane,A Young Lucas,18,0.709
Jane,Lydia,18,0.709
Jane,Charlotte Lucas,18,0.709
Jane,Kitty,18,0.709
Jane,Maria,18,0.709
Mrs. Bennet,Mary,27,-0.468
Mrs. Bennet,Elizabeth,27,-0.468
Mrs. Bennet,A Young Lucas,27,-0.468
Mrs. Bennet,Lydia,27,-0.468
Mrs. Bennet,Charlotte Lucas,27,-0.468
Mrs. Bennet,Kitty,27,-0.468
Mrs. Bennet,Jane,27,-0.468
Mrs. Bennet,Maria,27,-0.468
Jane,Mary,4,-0.1531
Jane,Elizabeth,4,-0.1531
Jane,Lydia,4,-0.1531
Jane,Mrs. Bennet,4,-0.1531
Jane,Charlotte Lucas,4,-0.1531
Jane,Kitty,4,-0.1531
Jane,A Young Lucas,4,-0.1531
Jane,Jane,4,-0.1531
Jane,Maria,4,-0.1531
Jane,Mary,16,0.4754
Jane,Elizabeth,16,0.4754
Jane,Lydia,16,0.4754
Jane,Mrs. Bennet,16,0.4754
Jane,Charlotte Lucas,16,0.4754
Jane,Kitty,16,0.4754
Jane,A Young Lucas,16,0.4754
Jane,Maria,16,0.4754
Mrs. Bennet,Mary,67,0.7257
Mrs. Bennet,Elizabeth,67,0.7257
Mrs. Bennet,A Young Lucas,67,0.7257
Mrs. Bennet,Lydia,67,0.7257
Mrs. Bennet,Charlotte Lucas,67,0.7257
Mrs. Bennet,Kitty,67,0.7257
Mrs. Bennet,Jane,67,0.7257
Mrs. Bennet,Maria,67,0.7257
Charlotte Lucas,Mary,18,0.5499
Charlotte Lucas,Elizabeth,18,0.5499
Charlotte Lucas,Lydia,18,0.5499
Charlotte Lucas,Mrs. Bennet,18,0.5499
Charlotte Lucas,A Young Lucas,18,0.5499
Charlotte Lucas,Kitty,18,0.5499
Charlotte Lucas,Jane,18,0.5499
Charlotte Lucas,Maria,18,0.5499
Mrs. Bennet,Mary,13,0.0
Mrs. Bennet,Elizabeth,13,0.0
Mrs. Bennet,A Young Lucas,13,0.0
Mrs. Bennet,Lydia,13,0.0
Mrs. Bennet,Charlotte Lucas,13,0.0
Mrs. Bennet,Kitty,13,0.0
Mrs. Bennet,Jane,13,0.0
