class,precision,recall,f1,support,accuracy,specificity_pos1
Class A,0.9824561403508771,0.9739130434782609,0.9781659388646288,115,,
Class B,0.9739130434782609,0.9824561403508771,0.9781659388646288,114,,
macro_avg,0.9781845919145691,0.9781845919145691,0.9781659388646288,229,,
weighted_avg,0.9782032449645093,0.9781659388646288,0.9781659388646288,229,,
overall,,,,229,0.9781659388646288,0.9739130434782609
